,close,volume
2021-03-24,4928.69,15938598200.0
2021-03-25,4926.35,13294518900.0
2021-03-26,5037.99,14592669700.0
2021-03-29,5046.88,14338821500.0
2021-03-30,5094.73,13861856000.0
2021-03-31,5048.36,14133574300.0
2021-04-01,5110.78,12032489000.0
2021-04-02,5161.56,12700225400.0
2021-04-06,5140.34,10983421000.0
2021-04-07,5103.74,14576374800.0
2021-04-08,5112.21,14177104700.0
2021-04-09,5035.34,12841650900.0
2021-04-12,4947.75,15264431400.0
2021-04-13,4939.64,13291935800.0
2021-04-14,4980.63,12086083800.0
2021-04-15,4948.97,10882938400.0
2021-04-16,4966.18,11123992400.0
2021-04-19,5087.02,15476982400.0
2021-04-20,5083.37,13654170000.0
2021-04-21,5098.74,12463727700.0
2021-04-22,5089.24,12116764500.0
2021-04-23,5135.45,12205699100.0
2021-04-26,5077.24,15138196700.0
2021-04-27,5090.52,12396183700.0
2021-04-28,5119.24,12062031800.0
2021-04-29,5164.17,14009248000.0
2021-04-30,5123.49,16012162100.0
2021-05-06,5061.12,15882263000.0
2021-05-07,4996.05,17225832100.0
2021-05-10,4992.42,17082058500.0
2021-05-11,5023.06,15152649700.0
2021-05-12,5044.55,12661908600.0
2021-05-13,4992.97,13227940600.0
2021-05-14,5110.59,15942618000.0
2021-05-17,5184.99,15388963400.0
2021-05-18,5187.6,11840426100.0
2021-05-19,5172.27,11872998300.0
2021-05-20,5186.41,13845477500.0
2021-05-21,5134.15,12476848500.0
2021-05-24,5155.59,12674233600.0
2021-05-25,5318.48,18299683900.0
2021-05-26,5320.59,16960709600.0
2021-05-27,5338.23,14846285500.0
2021-05-28,5321.09,16460580600.0
2021-05-31,5331.57,14460326900.0
2021-06-01,5341.68,14383147400.0
2021-06-02,5289.97,13775431900.0
2021-06-03,5255.29,14196887800.0
2021-06-04,5282.28,14473208700.0
2021-06-07,5277.63,12770497100.0
2021-06-08,5232.12,13055953200.0
2021-06-09,5236.45,12182032100.0
2021-06-10,5271.47,13899196700.0
2021-06-11,5224.7,18080717300.0
2021-06-15,5166.56,14288005800.0
2021-06-16,5080.49,12514798500.0
2021-06-17,5101.89,12045251800.0
2021-06-18,5102.47,14858580500.0
2021-06-21,5090.39,13218451600.0
2021-06-22,5122.16,13041675300.0
2021-06-23,5147.39,13635605800.0
2021-06-24,5155.97,12668562500.0
2021-06-25,5239.97,15493106100.0
2021-06-28,5251.76,13319378300.0
2021-06-29,5190.54,12516299700.0
2021-06-30,5224.04,10375267100.0
2021-07-01,5229.66,12724062000.0
2021-07-02,5081.12,13042642400.0
2021-07-05,5085.79,13121158900.0
2021-07-06,5083.1,14065522000.0
2021-07-07,5140.49,14854906000.0
2021-07-08,5088.26,17390100800.0
2021-07-09,5069.44,16065322600.0
2021-07-12,5132.71,20621203900.0
2021-07-13,5142.1,16648220900.0
2021-07-14,5083.08,18835272000.0
2021-07-15,5151.46,18107710300.0
2021-07-16,5094.77,16995598200.0
2021-07-19,5113.49,15319958900.0
2021-07-20,5108.99,12930004400.0
2021-07-21,5144.04,16797646900.0
2021-07-22,5151.75,18555686400.0
2021-07-23,5089.23,21653684700.0
2021-07-26,4925.3,22811171000.0
2021-07-27,4751.31,23663122500.0
2021-07-28,4760.48,19263439300.0
2021-07-29,4850.27,17332205400.0
2021-07-30,4811.17,18234977600.0
2021-08-02,4933.74,22719491800.0
2021-08-03,4934.46,20353336000.0
2021-08-04,4978.85,17546646100.0
2021-08-05,4948.67,16738182900.0
2021-08-06,4921.56,15417968800.0
2021-08-09,4985.56,18243687100.0
2021-08-10,5043.15,16705190200.0
2021-08-11,5015.34,18226607400.0
2021-08-12,4973.35,16822373300.0
2021-08-13,4945.98,15831432100.0
2021-08-16,4941.07,16195337300.0
2021-08-17,4837.4,18757347200.0
2021-08-18,4894.24,19747437800.0
2021-08-19,4862.14,20171171900.0
2021-08-20,4769.27,17763581000.0
2021-08-23,4835.88,16757909300.0
2021-08-24,4888.39,19788316300.0
2021-08-25,4898.16,18944801600.0
2021-08-26,4801.61,19761738700.0
2021-08-27,4827.04,18331021100.0
2021-08-30,4813.27,21963575700.0
2021-08-31,4805.61,23511865800.0
2021-09-01,4869.46,32672108000.0
2021-09-02,4869.41,26785801300.0
2021-09-03,4843.06,26809189600.0
2021-09-06,4933.73,24050724500.0
2021-09-07,4992.83,24417851900.0
2021-09-08,4972.13,26461531500.0
2021-09-09,4970.01,25653021700.0
2021-09-10,5013.52,28830435200.0
2021-09-13,4991.66,24991529800.0
2021-09-14,4917.16,24559040200.0
2021-09-15,4867.32,18798473000.0
2021-09-16,4807.7,21675209900.0
2021-09-17,4855.94,20195812700.0
2021-09-22,4821.77,19122037600.0
2021-09-23,4853.2,22815106400.0
2021-09-24,4849.43,20769329000.0
2021-09-27,4877.37,21596703000.0
2021-09-28,4883.83,17689088000.0
2021-09-29,4833.93,18817136600.0
2021-09-30,4866.38,14611389600.0
2021-10-08,4929.94,16896807700.0
2021-10-11,4936.19,16351162400.0
2021-10-12,4883.84,16807933700.0
2021-10-13,4940.11,13114281300.0
2021-10-14,4913.61,11955701300.0
2021-10-15,4932.11,14282200100.0
2021-10-18,4874.78,14124519900.0
2021-10-19,4922.72,13526649300.0
2021-10-20,4910.18,14153318300.0
2021-10-21,4928.02,14889815400.0
2021-10-22,4959.73,14392622800.0
2021-10-25,4979.52,14186149000.0
2021-10-26,4963.1,14088894300.0
2021-10-27,4898.16,14711159300.0
2021-10-28,4864.14,15664947200.0
2021-10-29,4908.77,15988735300.0
2021-11-01,4890.69,17158397400.0
2021-11-02,4839.85,18543768800.0
2021-11-03,4821.11,14276382000.0
2021-11-04,4868.74,13259297000.0
2021-11-05,4842.35,14778935900.0
2021-11-08,4848.18,13739826400.0
2021-11-09,4846.74,11837552600.0
2021-11-10,4821.19,13511817900.0
2021-11-11,4898.65,16048486300.0
2021-11-12,4888.37,13266296900.0
2021-11-15,4882.38,12182314900.0
2021-11-16,4883.32,12725440600.0
2021-11-17,4885.75,10845922300.0
2021-11-18,4837.62,11448056500.0
2021-11-19,4890.06,12719831200.0
2021-11-22,4912.4,13809283600.0
2021-11-23,4913.35,15430441100.0
2021-11-24,4916.66,13715067300.0
2021-11-25,4896.44,11598403100.0
2021-11-26,4860.13,12036897400.0
2021-11-29,4851.42,13362686200.0
2021-11-30,4832.03,12963059600.0
2021-12-01,4843.85,12308678900.0
2021-12-02,4856.16,14808852100.0
2021-12-03,4901.02,14405962600.0
2021-12-06,4892.62,17361568300.0
2021-12-07,4922.1,17905346000.0
2021-12-08,4995.93,15749055900.0
2021-12-09,5078.69,22056877600.0
2021-12-10,5055.12,19369515400.0
2021-12-13,5083.8,21180159600.0
2021-12-14,5049.7,15910779000.0
2021-12-15,5005.9,15052975200.0
2021-12-16,5034.73,14405386700.0
2021-12-17,4954.76,14900539900.0
2021-12-20,4880.42,16967569000.0
2021-12-21,4913.49,14333989800.0
2021-12-22,4914.45,13325674000.0
2021-12-23,4948.74,13955540600.0
2021-12-24,4921.34,14267332300.0
2021-12-27,4919.32,12410095200.0
2021-12-28,4955.96,13045775700.0
2021-12-29,4883.48,11358700200.0
2021-12-30,4921.51,12161717800.0
2021-12-31,4940.37,12131373700.0
2022-01-04,4917.77,15153477600.0
2022-01-05,4868.12,17881610000.0
2022-01-06,4818.23,15766582600.0
2022-01-07,4822.37,18713941300.0
2022-01-10,4844.05,15621169600.0
2022-01-11,4797.77,14692800400.0
2022-01-12,4845.58,14320020400.0
2022-01-13,4765.92,14251965300.0
2022-01-14,4726.73,14686312600.0
2022-01-17,4767.28,11529569100.0
2022-01-18,4813.35,15087080200.0
2022-01-19,4780.38,13392736000.0
2022-01-20,4823.51,16497131500.0
2022-01-21,4779.31,13895258500.0
2022-01-24,4786.74,11446388000.0
2022-01-25,4678.45,13366758600.0
2022-01-26,4712.31,10707084200.0
2022-01-27,4619.88,12126380400.0
2022-01-28,4563.77,12648011200.0
2022-02-07,4634.09,14484972000.0
2022-02-08,4608.77,15583070800.0
2022-02-09,4652.06,14833554700.0
2022-02-10,4639.86,15157666600.0
2022-02-11,4601.4,15597458400.0
2022-02-14,4551.69,14367389400.0
2022-02-15,4600.1,11502560000.0
2022-02-16,4617.99,10725895500.0
2022-02-17,4629.16,11001464300.0
2022-02-18,4651.24,10455022800.0
2022-02-21,4634.31,11251651200.0
2022-02-22,4574.15,12331723700.0
2022-02-23,4623.05,12295291600.0
2022-02-24,4529.32,18440305800.0
2022-02-25,4573.42,14972258300.0
2022-02-28,4581.65,13540697800.0
2022-03-01,4619.69,12313922000.0
2022-03-02,4578.6,11329832500.0
2022-03-03,4551.63,13828587700.0
2022-03-04,4496.43,12726680600.0
2022-03-07,4352.78,16219770600.0
2022-03-08,4265.39,16786327700.0
2022-03-09,4226.35,19423290000.0
2022-03-10,4292.84,14526638300.0
2022-03-11,4306.52,15239992100.0
2022-03-14,4174.76,13018723600.0
2022-03-15,3983.81,20252469900.0
2022-03-16,4156.08,19602198200.0
2022-03-17,4237.7,17940734400.0
2022-03-18,4265.9,14945830500.0
2022-03-21,4258.75,12703636000.0
2022-03-22,4255.3,12638247000.0
2022-03-23,4276.52,11708907800.0
2022-03-24,4251.31,10891827200.0
2022-03-25,4174.57,10880804600.0
2022-03-28,4148.47,11844902100.0
